时间,合约,Funding Internal,Funding Rate,Funding Rate Daily
2016/5/14 12:00,XBTUSD,每天8小时,0.00069,0.00069
2016/5/15 12:00,XBTUSD,每天8小时,0.000516,0.000516
2016/5/16 12:00,XBTUSD,每天8小时,0.000451,0.000451
2016/5/17 12:00,XBTUSD,每天8小时,0.000454,0.000454
2016/5/18 12:00,XBTUSD,每天8小时,0.000443,0.000443
2016/5/19 12:00,XBTUSD,每天8小时,0.000427,0.000427
2016/5/20 12:00,XBTUSD,每天8小时,0.000424,0.000424
2016/5/21 12:00,XBTUSD,每天8小时,0.00042,0.00042
2016/5/22 12:00,XBTUSD,每天8小时,0.0004,0.0004
2016/5/23 12:00,XBTUSD,每天8小时,0.000354,0.000354
2016/5/24 12:00,XBTUSD,每天8小时,0.000373,0.000373
2016/5/25 12:00,XBTUSD,每天8小时,0.000318,0.000318
2016/5/26 12:00,XBTUSD,每天8小时,0.000325,0.000325
2016/5/27 12:00,XBTUSD,每天8小时,0.000342,0.000342
2016/5/28 12:00,XBTUSD,每天8小时,0.00035,0.00035
2016/5/29 12:00,XBTUSD,每天8小时,0.002588,0.002588
2016/5/30 12:00,XBTUSD,每天8小时,0.007046,0.007046
2016/5/31 12:00,XBTUSD,每天8小时,0.00296,0.00296
2016/6/1 12:00,XBTUSD,每天8小时,0.001285,0.001285
2016/6/2 12:00,XBTUSD,每天8小时,0.000974,0.000974
2016/6/3 12:00,XBTUSD,每天8小时,0.000934,0.000934
2016/6/4 12:00,XBTUSD,每天8小时,0.000788,0.000788
2016/6/4 20:00,XBTUSD,每天8小时,0.000249667,0.000749
2016/6/5 4:00,XBTUSD,每天8小时,0.000242333,0.000727
2016/6/5 12:00,XBTUSD,每天8小时,0.000237333,0.000712
2016/6/5 20:00,XBTUSD,每天8小时,0.000234333,0.000703
2016/6/6 4:00,XBTUSD,每天8小时,0.000229,0.000687
2016/6/6 12:00,XBTUSD,每天8小时,0.000240333,0.000721
2016/6/6 20:00,XBTUSD,每天8小时,0.000246667,0.00074
2016/6/7 4:00,XBTUSD,每天8小时,0.000203667,0.000611
2016/6/7 12:00,XBTUSD,每天8小时,0.000211333,0.000634
2016/6/7 20:00,XBTUSD,每天8小时,0.000203667,0.000611
2016/6/8 4:00,XBTUSD,每天8小时,0.000187667,0.000563
2016/6/8 12:00,XBTUSD,每天8小时,0.000170667,0.000512
2016/6/8 20:00,XBTUSD,每天8小时,0.000171667,0.000515
2016/6/9 4:00,XBTUSD,每天8小时,0.000161667,0.000485
2016/6/9 12:00,XBTUSD,每天8小时,0.000183667,0.000551
2016/6/9 20:00,XBTUSD,每天8小时,0.00017,0.00051
2016/6/10 4:00,XBTUSD,每天8小时,0.000145,0.000435
2016/6/10 12:00,XBTUSD,每天8小时,0.000142,0.000426
2016/6/10 20:00,XBTUSD,每天8小时,0.000169,0.000507
2016/6/11 4:00,XBTUSD,每天8小时,0.000442333,0.001327
2016/6/11 12:00,XBTUSD,每天8小时,0.000163667,0.000491
2016/6/11 20:00,XBTUSD,每天8小时,0.000178333,0.000535
2016/6/12 4:00,XBTUSD,每天8小时,0.000168,0.000504
2016/6/12 12:00,XBTUSD,每天8小时,0.000547,0.001641
2016/6/12 20:00,XBTUSD,每天8小时,0.004297,0.012891
2016/6/13 4:00,XBTUSD,每天8小时,0.008047,0.024141
2016/6/13 12:00,XBTUSD,每天8小时,0.01125,0.03375
2016/6/13 20:00,XBTUSD,每天8小时,0.007787,0.023361
2016/6/14 4:00,XBTUSD,每天8小时,0.01125,0.03375
2016/6/14 12:00,XBTUSD,每天8小时,0.008049,0.024147
2016/6/14 20:00,XBTUSD,每天8小时,0.004299,0.012897
2016/6/15 4:00,XBTUSD,每天8小时,0.000549,0.001647
2016/6/15 12:00,XBTUSD,每天8小时,0.001374,0.004122
2016/6/15 20:00,XBTUSD,每天8小时,0.001041,0.003123
2016/6/16 4:00,XBTUSD,每天8小时,0.000704,0.002112
2016/6/16 12:00,XBTUSD,每天8小时,0.004454,0.013362
2016/6/16 20:00,XBTUSD,每天8小时,0.008204,0.024612
2016/6/17 4:00,XBTUSD,每天8小时,0.009534,0.028602
2016/6/17 12:00,XBTUSD,每天8小时,0.01125,0.03375
2016/6/17 20:00,XBTUSD,每天8小时,0.0075,0.0225
2016/6/18 4:00,XBTUSD,每天8小时,0.00713,0.02139
2016/6/18 12:00,XBTUSD,每天8小时,0.00606,0.01818
2016/6/18 20:00,XBTUSD,每天8小时,0.00284,0.00852
2016/6/19 4:00,XBTUSD,每天8小时,0.0013,0.0039
2016/6/19 12:00,XBTUSD,每天8小时,-0.000117,-0.000351
2016/6/19 20:00,XBTUSD,每天8小时,0.003354,0.010062
2016/6/20 4:00,XBTUSD,每天8小时,0.00177,0.00531
2016/6/20 12:00,XBTUSD,每天8小时,0.001834,0.005502
2016/6/20 20:00,XBTUSD,每天8小时,0.00207,0.00621
2016/6/21 4:00,XBTUSD,每天8小时,-0.000337,-0.001011
2016/6/21 12:00,XBTUSD,每天8小时,-0.001974,-0.005922
2016/6/21 20:00,XBTUSD,每天8小时,0.000488,0.001464
2016/6/22 4:00,XBTUSD,每天8小时,-0.000681,-0.002043
2016/6/22 12:00,XBTUSD,每天8小时,0.003069,0.009207
2016/6/22 20:00,XBTUSD,每天8小时,0.002513,0.007539
2016/6/23 4:00,XBTUSD,每天8小时,-0.001237,-0.003711
2016/6/23 12:00,XBTUSD,每天8小时,0.001946,0.005838
2016/6/23 20:00,XBTUSD,每天8小时,0.005192,0.015576
2016/6/24 4:00,XBTUSD,每天8小时,0.001442,0.004326
2016/6/24 12:00,XBTUSD,每天8小时,-0.002308,-0.006924
2016/6/24 20:00,XBTUSD,每天8小时,-0.000763,-0.002289
2016/6/25 4:00,XBTUSD,每天8小时,-2.00E-06,-6.00E-06
2016/6/25 12:00,XBTUSD,每天8小时,0.001289,0.003867
2016/6/25 20:00,XBTUSD,每天8小时,0.002666,0.007998
2016/6/26 4:00,XBTUSD,每天8小时,0.001083,0.003249
2016/6/26 12:00,XBTUSD,每天8小时,0.000261,0.000783
2016/6/26 20:00,XBTUSD,每天8小时,-9.30E-05,-0.000279
2016/6/27 4:00,XBTUSD,每天8小时,-4.30E-05,-0.000129
2016/6/27 12:00,XBTUSD,每天8小时,0.000287,0.000861
2016/6/27 20:00,XBTUSD,每天8小时,0.001166,0.003498
2016/6/28 4:00,XBTUSD,每天8小时,0.000448,0.001344
2016/6/28 12:00,XBTUSD,每天8小时,0.00022,0.00066
2016/6/28 20:00,XBTUSD,每天8小时,0.000211,0.000633
2016/6/29 4:00,XBTUSD,每天8小时,0.000202,0.000606
2016/6/29 12:00,XBTUSD,每天8小时,-0.000105,-0.000315
2016/6/29 20:00,XBTUSD,每天8小时,0.000191,0.000573
2016/6/30 4:00,XBTUSD,每天8小时,0.001416,0.004248
2016/6/30 12:00,XBTUSD,每天8小时,0.002604,0.007812
2016/6/30 20:00,XBTUSD,每天8小时,0.001988,0.005964
2016/7/1 4:00,XBTUSD,每天8小时,0.00309,0.00927
2016/7/1 12:00,XBTUSD,每天8小时,0.003111,0.009333
2016/7/1 20:00,XBTUSD,每天8小时,0.000217,0.000651
2016/7/2 4:00,XBTUSD,每天8小时,0.000205,0.000615
2016/7/2 12:00,XBTUSD,每天8小时,0.000765,0.002295
2016/7/2 20:00,XBTUSD,每天8小时,0.001705,0.005115
2016/7/3 4:00,XBTUSD,每天8小时,0.001394,0.004182
2016/7/3 12:00,XBTUSD,每天8小时,0.000623,0.001869
2016/7/3 20:00,XBTUSD,每天8小时,0.000207,0.000621
2016/7/4 4:00,XBTUSD,每天8小时,0.000204,0.000612
2016/7/4 12:00,XBTUSD,每天8小时,-0.000139,-0.000417
2016/7/4 20:00,XBTUSD,每天8小时,-9.20E-05,-0.000276
2016/7/5 4:00,XBTUSD,每天8小时,0.000208,0.000624
